taxa,PC1,PC2,PC3
KI14,11.2306807402861,6.90920197849736,-0.00304178852919642
KI2021,10.61937423161,6.16923598848721,0.182176067728957
KI21,6.86217289754932,2.08876747597789,-0.389714328253573
KI3,11.327135331299,9.53916166512426,0.307432116229933
KI43,8.92678123863038,4.82415637641648,0.317438179343604
KI44,9.56025517324336,6.60570687097244,0.641408326211823
KY21,1.1529710550235,-2.25042683113441,-1.55158236491236
KY226,2.75324649387456,0.0346670704613851,1.65732453617877
KY228,1.24333788276803,-4.22171642450401,-1.17012938338012
L317,2.18911888632449,-5.7534851952743,-0.370819795780029
L578,4.43107645138331,0.503081939020765,1.72123027863479
M14,-4.4153961804169,-6.99346836159926,1.28328095368347
M162W,5.00579736928412,-1.96234597317718,0.616703592444377
M37W,6.48406811999871,1.12898044424678,-1.75970145164385
MEF156-55-2,-0.443230623716496,-11.1034238549693,3.52894417000831
MO17,2.22587013360038,-8.95495533152755,1.98257364068079
MO18W,7.03464446136426,3.69787480123035,-2.09573967494689
MO1W,1.71890764772599,-4.84573281667345,-0.441287765235056
MO24W,4.92428806147486,-0.564083871574947,2.8501396656676
MO44,-3.16986205438078,-5.82982048335957,-0.794906639777054
MO45,0.130988906113921,-2.70291019751407,-0.352817654904916
MO46,-1.48920319016215,-1.6578306217839,-4.21569618885813
MO47,0.937772159678724,-2.27464803726036,0.863080508151519
MOG,2.66360617483181,-2.39561922888505,-1.40415203794412
MP339,0.767129891473744,-0.310180990528521,-1.34863205183785
MS1334,2.85038685294589,-4.59184474888103,-0.47312659414157
MS153,-3.30892045098189,-8.62613112067868,0.983733085625784
MS71,-2.70296575923657,-8.22466402976277,0.0604052912138802
MT42,-0.500118231437474,-5.84357990681549,-0.132275939595111
N192,-31.7870025935994,7.63075342138441,1.09326611560845
N28HT,-12.6991389761447,-0.873100362192388,-1.99162175702912
N6,-0.399756001920069,-4.33892382172876,-0.118230969774223
N7A,-8.66781676066725,-3.57933651625884,-5.60708288336303
NC222,1.71599090451961,-1.95470974844844,1.07878633561292
NC230,0.101356013884659,-2.14284138556564,-1.00851242087316
NC232,1.74918526108982,-2.86120713912646,-0.195788414783093
NC236,0.745829869671044,-5.97105268568131,-1.95390331870969
NC238,3.04405484606424,-3.2398999288837,3.24444692557094
NC250,-9.57811252183013,1.7820903641215,6.38532011945454
NC258,4.48948161990142,-10.7103000542877,3.12589442806349
NC260,-1.67483498998806,-5.69544058289348,-0.527854508192089
NC262,5.29483437580925,-10.1420262028836,3.0093015776564
NC264,8.47497236377095,1.31692344257572,-0.387048809742791
NC290A,4.04290371368211,-10.7717305372956,3.35354865748293
NC294,-25.936685999612,11.1450877338749,12.9365076328356
NC296,12.5906159124559,18.4064474158873,-0.670433966301845
NC296A,13.0265934493806,18.228496571108,-0.619630421870178
NC298,13.4660690017854,17.119982318906,-1.51956921592391
NC300,11.4175057876857,11.9863257948395,0.601831075806365
NC302,11.2450640147439,14.8119440464563,-0.114122318423673
NC304,10.8998289187197,14.1374488461407,-0.7812757095142
NC306,-27.025737102587,12.3864660993029,13.0535996270887
NC310,-34.8986464781596,15.3163169606308,10.5853711857007
NC314,-20.0937876801117,9.5407032058763,9.91162513972798
NC318,6.55764577094658,0.552368790908097,0.255839220499966
NC320,7.78305529022808,0.904731576950047,-0.283901886660334
NC324,-20.2069776765798,9.78852748605621,10.7739495210851
NC326,-37.175211399462,16.2275419627036,12.1639448882917
NC328,-35.3440405634473,16.6507964422771,12.7423604252237
NC33,2.06374672755838,-2.95014390155969,1.43975736005353
NC336,13.8509325462423,17.9157500284053,-1.39751550900015
NC338,12.3361636135231,13.6479653514829,-1.06248811579744
NC340,11.3228701573452,12.2827700082824,-0.0600199066043919
NC342,-2.62592055699761,-3.77712003528305,3.59654761721775
NC344,4.80833965788291,-10.7679806116216,3.23296199659249
NC346,12.6905951080156,17.01988598074,-0.599754982068171
NC348,13.540395421048,16.726947671009,-0.417194222199493
NC350,11.8167879384997,13.5412787187543,-1.27304150837506
